	;	Shine NPC table(ShineNPC.txt)																										
;	#recordin	ShineNPC	Gate_Town	RouVal01	13660	7862	0	1	QuestNpc	Quest																		
;	탐욕의 해안 임시 상인																											
;	#recordin	ShineNPC	EldArcGuard03	RouCos03	7010	15732	-41	1	Merchant	Item																		
;	#recordin	ShineNPC	TempSoul	RouCos03	7088	16054	-41	1	Merchant	SoulStone																		
;	#recordin	ShineNPC	TempSkill	RouCos03	7574	16040	-41	1	Merchant	Skill																		
;	대련장 입구																											
	#recordin	ShineNPC	FbattleGate	RouN	7538	5470	-178	0	Gate	Fbattle011																		
	#recordin	LinkTable								Fbattle011	Fbattle01	Fbattle01	923	3305	0	1												
	#recordin	ShineNPC	FbattleGate	Eld	10223	11180	-89	0	Gate	Fbattle021																		
	#recordin	LinkTable								Fbattle021	Fbattle02	Fbattle02	3666	4363	0	1												
	#recordin	ShineNPC	FbattleGate	Urg	4405	6439	49	0	Gate	Fbattle031																		
	#recordin	LinkTable								Fbattle031	Fbattle03	Fbattle03	2744	3085	0	1												
	#recordin	ShineNPC	FbattleGate	Bera	7078	4812	40	0	Gate	Fbattle041																		
	#recordin	LinkTable								Fbattle041	Fbattle04	Fbattle04	1768	2391	0	1												
;	대련장 출구																											
	#recordin	ShineNPC	FbattleGate	Fbattle01	783	3506	0	0	Gate	Fbattle012																		
	#recordin	LinkTable								Fbattle012	RouN	RouN	7538	5610	0	1												
	#recordin	ShineNPC	FbattleGate	Fbattle02	3845	4368	0	0	Gate	Fbattle022																		
	#recordin	LinkTable								Fbattle022	Eld	Eld	17214	13445	0	1												
	#recordin	ShineNPC	FbattleGate	Fbattle03	2902	3092	49	0	Gate	Fbattle032																		
	#recordin	LinkTable								Fbattle032	Urg	Urg	6293	5477	0	1												
	#recordin	ShineNPC	FbattleGate	Fbattle04	1323	2628	180	0	Gate	Fbattle042																		
	#recordin	LinkTable								Fbattle042	Bera	Bera	6969	4626	0	1												
;	대련장 회복스톤																											
	#recordin	ShineNPC	FbattleSoul	Fbattle01	1104	1810	-105	1	Merchant	SoulStone																		
	#recordin	ShineNPC	FbattleSoul	Fbattle02	2496	4440	0	1	Merchant	SoulStone																		
	#recordin	ShineNPC	FbattleSoul	Fbattle03	32	2218	-88	1	Merchant	SoulStone																		
	#recordin	ShineNPC	FbattleSoul	Fbattle04	5065	3757	0	1	Merchant	SoulStone																		
;	메마른 안개숲 캐릭터 npc																											
	#recordin	ShineNPC	GodEnide	RouVal01	5749	20511	-116	1	QuestNpc	Quest																		
;	모래바람 언덕																											
	#recordin	ShineNPC	MapLinkGate	EldGbl02	6484	11270	-5	0	Gate	EldGbl021																		
	#recordin	LinkTable								EldGbl021	RouVal02	RouVal02	10546	4329	0	1												
	#recordin	ShineNPC	MapLinkGate	EldGbl02	1250	3151	69	0	Gate	EldGbl022																		
	#recordin	LinkTable								EldGbl022	RouCos03	RouCos03	4450	5230	0	1												
	#recordin	ShineNPC	MapLinkGate	EldGbl02	10469	3612	0	0	Gate	EldGbl023																		
	#recordin	LinkTable								EldGbl023	EldCem01	EldCem01	4013	818	0	1												
;	심연의 무덤(30배틀필드)																											
	#recordin	ShineNPC	LevelGuard30	CemDn02	5606	15618	-88	0	Gate	CemDn021																		
	#recordin	LinkTable								CemDn021	BFGate01	BFGate01	1648	2039	0	1												
;	#recordin	ShineNPC	EldSpeGuard03	CemDn02	9781	6813	-176	0	Gate	CemDn022																		
;	#recordin	LinkTable								CemDn022	RouTemDn02	RouTemDn02	5211	8617	0	1												
;	단두대 형장																											
	#recordin	ShineNPC	MapLinkGate	EldPri02	1524	3565	78	0	Gate	EldPri021																		
	#recordin	LinkTable								EldPri021	EldPri01	EldPri01	595	2949	0	1												
	#recordin	ShineNPC	MapLinkGate	EldPri02	10005	2808	-28	0	Gate	EldPri022																		
	#recordin	LinkTable								EldPri022	Urg	Urg	1675	9291	0	1												
;	OX퀴즈																											
	#recordin	ShineNPC	MapLinkGate	OX_field	7519	4927	0	0	Gate	OX_field01																		
	#recordin	LinkTable								OX_field01	Eld	Eld	15937	11905	0	1												
;	여명의 늪																											
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	5695	3980	17	0	Gate	UrgSwa011																		
	#recordin	LinkTable								UrgSwa011	UrgFire01	UrgFire01	18535	24470	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	20310	22387	12	0	Gate	UrgSwa012																		
	#recordin	LinkTable								UrgSwa012	UrgSwaDn01	UrgSwaDn01	5655	11439	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	9028	12890	90	0	Gate	UrgSwa013																		
	#recordin	LinkTable								UrgSwa013	SwaDn01	SwaDn01	6067	11124	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	6865	22065	0	0	Gate	UrgSwa015																		
	#recordin	LinkTable								UrgSwa015	Urg_Alruin	Urg_Alruin	16479	3515	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	3160	10279	90	0	Gate	UrgSwa016																		
	#recordin	LinkTable								UrgSwa016	QField01	QField01	1521	2067	180	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	14558	22319	90	0	Gate	UrgSwa017																		
	#recordin	LinkTable								UrgSwa017	QField02	QField02	589	665	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgSwa01	22317	21291	88	0	Gate	UrgSwa018																		
	#recordin	LinkTable								UrgSwa018	BH_Helga	BH_Helga	1593	2913	0	1												
;	미국 헬가는 잠자는 숲에 있음																											
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	11546	15781	0	0	Gate	UrgSwa014																		
;	#recordin	LinkTable								UrgSwa014	R_Helga01	R_Helga01	2318	2675	0	1												
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	6865	22065	0	0	Gate	UrgSwa015																		
;	#recordin	LinkTable								UrgSwa015	Urg_Alruin	Urg_Alruin	16479	3515	0	1												
;	영혼의 신전																											
	#recordin	ShineNPC	MapLinkGate	UrgSwaDn01	5649	11237	2	0	Gate	UrgSwaDn011																		
	#recordin	LinkTable								UrgSwaDn011	UrgSwa01	UrgSwa01	20290	22302	0	1												
;	결계의 숲1																											
	#recordin	ShineNPC	EldSpeGuard03	BFGate01	1585	162	177	0	Gate	BFGate011																		
	#recordin	LinkTable								BFGate011	Eld	Eld	17511	11551	0	1												
	#recordin	ShineNPC	LevelGuard20	BFGate01	1799	1622	96	0	Gate	BFGate012																		
	#recordin	LinkTable								BFGate012	ValDn02	ValDn02	1592	11159	0	1												
	#recordin	ShineNPC	LevelGuard30	BFGate01	1709	2159	0	0	Gate	BFGate013																		
	#recordin	LinkTable								BFGate013	CemDn02	CemDn02	5678	15617	0	1												
	#recordin	ShineNPC	LevelGuard40	BFGate01	1274	2250	0	0	Gate	BFGate014																		
	#recordin	LinkTable								BFGate014	GblDn02	GblDn02	5081	6146	0	1												
	#recordin	ShineNPC	LevelGuard50	BFGate01	1019	1963	0	0	Gate	BFGate015																		
	#recordin	LinkTable								BFGate015	PriDn02	PriDn02	5154	5059	0	1												
;	결계의 숲2																											
	#recordin	ShineNPC	EldSpeGuard03	BFGate02	1585	162	177	0	Gate	BFGate021																		
	#recordin	LinkTable								BFGate021	Urg	Urg	8339	6738	0	1												
	#recordin	ShineNPC	LevelGuard60	BFGate02	1799	1622	96	0	Gate	BFGate022																		
	#recordin	LinkTable								BFGate022	ElfDn02	ElfDn02	5230	3728	89	1												
	#recordin	ShineNPC	LevelGuard70	BFGate02	1709	2159	0	0	Gate	BFGate023																		
	#recordin	LinkTable								BFGate023	ForDn02	ForDn02	5825	6128	0	1												
	#recordin	ShineNPC	LevelGuard80	BFGate02	1274	2250	0	0	Gate	BFGate024																		
	#recordin	LinkTable								BFGate024	FireDn02	FireDn02	6351	6712	90	1												
	#recordin	ShineNPC	LevelGuard90	BFGate02	1019	1963	0	0	Gate	BFGate025																		
	#recordin	LinkTable								BFGate025	SwaDn02	SwaDn02	6067	11124	0	1												
;	결계의 숲3																											
	#recordin	ShineNPC	EldSpeGuard03	BFGate03	1585	162	177	0	Gate	BFGate031																		
	#recordin	LinkTable								BFGate031	Urg_Alruin	Urg_Alruin	6375	9986	0	1												
	#recordin	ShineNPC	LevelGuard100	BFGate03	1019	1963	0	0	Gate	BFGate032																		
	#recordin	LinkTable								BFGate032	AlDn02	AlDn02	11353	1855	0	1												
;	올버스톨 폐허																											
	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	16486	3365	0	0	Gate	Urg_Alruin1																		
	#recordin	LinkTable								Urg_Alruin1	UrgSwa01	UrgSwa01	6865	22000	0	1												
;	#recordin	ShineNPC	KarenGate	Urg_Alruin	21530	18911	-93	0	Gate	BerKal012																		
;	#recordin	LinkTable								BerKal012	AdlThorn01	AdlThorn01	11602	11719	0	1												
	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	11333	22013	0	0	Gate	Urg_Alruin2																		
	#recordin	LinkTable								Urg_Alruin2	UrgDark01	UrgDark01	2436	11999	0	1												
	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	17072	15209	131	0	Gate	Urg_Alruin3																		
	#recordin	LinkTable								Urg_Alruin3	AlDn01	AlDn01	11356	1898	0	1												
	#recordin	ShineNPC	EldSpeGuard03	Urg_Alruin	6325	9880	-134	0	Gate	Urg_Alruin4																		
	#recordin	LinkTable								Urg_Alruin4	BFGate03	BFGate03	1589	301	0	1												
;	심연의 유적																											
	#recordin	ShineNPC	LevelGuard70	ForDn02	5960	6127	90	0	Gate	ForDn021																		
	#recordin	LinkTable								ForDn021	BFGate02	BFGate02	1801	2083	0	1												
;	심연의 성지																											
	#recordin	ShineNPC	LevelGuard80	FireDn02	6358	6854	0	0	Gate	FireDn021																		
	#recordin	LinkTable								FireDn021	BFGate02	BFGate02	1264	2056	91	1												
;	심연의 늪																											
	#recordin	ShineNPC	LevelGuard90	SwaDn02	6068	11314	0	0	Gate	SwaDn021																		
	#recordin	LinkTable								SwaDn021	BFGate02	BFGate02	1023	1791	90	1												
;	심연의 동굴(20레벨)																											
	#recordin	ShineNPC	LevelGuard20	ValDn02	1479	11336	0	0	Gate	ValDn021																		
	#recordin	LinkTable								ValDn021	BFGate01	BFGate01	1665	1600	0	1												
;	심연의 나무(100레벨 이상)																											
	#recordin	ShineNPC	LevelGuard100	AlDn02	11303	1895	0	0	Gate	AlDn021																		
	#recordin	LinkTable								AlDn021	BFGate03	BFGate03	1059	1913	0	1												
;	덩굴무덤가는길																											
	#recordin	ShineNPC	MapLinkGate	Linkfield01	3815	2897	3	0	Gate	Linkfield011																		
	#recordin	LinkTable								Linkfield011	EldCem01	EldCem01	1249	12145	-67	1												
	#recordin	ShineNPC	MapLinkGate	Linkfield01	9831	11256	0	0	Gate	Linkfield012																		
	#recordin	LinkTable								Linkfield012	EldCem02	EldCem02	1218	855	0	1												
;	우루가 가는 길																											
	#recordin	ShineNPC	MapLinkGate	Linkfield02	2677	6620	-27	0	Gate	Linkfield021																		
	#recordin	LinkTable								Linkfield021	EldPri01	EldPri01	1133	10955	0	1												
	#recordin	ShineNPC	MapLinkGate	Linkfield02	2227	9310	-83	0	Gate	Linkfield022																		
	#recordin	LinkTable								Linkfield022	Urg	Urg	1807	11270	0	1												
;	헬가의 무덤																											
	#recordin	ShineNPC	MapLinkGate	R_Helga01	3279	1131	0	0	Gate	R_Helga011																		
	#recordin	LinkTable								R_Helga011	EldSleep01	EldSleep01	7274	11721	0	1												
;	크리스마스 트리(모래바람언덕/올버스톨폐허)																											
;	#recordin	ShineNPC	ChristmasTree	EldGbl02	9048	8280	0	0	QuestNpc	Quest																		
;	#recordin	ShineNPC	ChristmasTree	Urg_Alruin	6825	11564	-55	0	QuestNpc	Quest																		
;	지하실 통로																											
	#recordin	ShineNPC	IDMapLinkGate03	IDGate01	1027	1412	0	0	ModeIDGate	IDGate011																		
	#recordin	LinkTable								IDGate011	Leviathan	Leviathan	3006	5422	0	1												
	#recordin	ShineNPC	MapLinkGate	IDGate01	389	1420	0	0	Gate	IDGate012																		
	#recordin	LinkTable								IDGate012	RouCos02	RouCos02	8230	6510	0	1												
	#recordin	ShineNPC	Raphael	IDGate01	1066	198	135	1	QuestNpc	Quest																		
;	가시나무 동굴																											
	#recordin	ShineNPC	KarenGate	AdlThorn01	11459	11393	225	0	Gate	Karen001																		
	#recordin	LinkTable								Karen001	BerKal01	BerKal01	9541	3097	-121	1												
;	퀘스트필드																											
	#recordin	ShineNPC	MapLinkGate	QField01	1520	2158	180	0	Gate	QField011																		
	#recordin	LinkTable								QField011	UrgSwa01	UrgSwa01	3549	10271	135	1												
	#recordin	ShineNPC	MapLinkGate	QField02	399	667	-67	0	Gate	QField022																		
	#recordin	LinkTable								QField022	UrgSwa01	UrgSwa01	14482	22115	90	1												
;	비밀의 실험실																											
	#recordin	ShineNPC	Gate_Lab	Urg_Alruin	22150	6750	111	0	ModeIDGate	LabGate00																		
	#recordin	LinkTable								LabGate00	Tower03	Tower03	8765	11255	0	1												
;	베라																											
;	#recordin	ShineNPC	MapLinkGate	Bera	9201	561	103	0	Gate	Bera001																		
;	#recordin	LinkTable								Bera001	UrgDark01	UrgDark01	23655	13163	0	1												
	#recordin	ShineNPC	MapLinkGate	Bera	445	6048	-56	0	Gate	Bera002																		
	#recordin	LinkTable								Bera002	BerKal01	BerKal01	21113	19637	-55	1												
	#recordin	ShineNPC	MapLinkGate	Bera	12300	3167	-90	0	Gate	Bera003																		
	#recordin	LinkTable								Bera003	BerFrz01	BerFrz01	6063	23011	180	1												
	#recordin	ShineNPC	EldSpeGuard03	Bera	8073	2701	117	0	Gate	Bera004																		
	#recordin	LinkTable								Bera004	BFGate04	BFGate04	1589	301	0	1												
;	카할평원																											
	#recordin	ShineNPC	MapLinkGate	BerKal01	21274	19875	52	0	Gate	BerKal011																		
	#recordin	LinkTable								BerKal011	Bera	Bera	638	5930	-55	1												
	#recordin	ShineNPC	KarenGate	BerKal01	9398	2821	205	0	Gate	BerKal012																		
	#recordin	LinkTable								BerKal012	AdlThorn01	AdlThorn01	11602	11719	0	1												
	#recordin	ShineNPC	MapLinkGate	BerKal01	6161	3884	0	0	Gate	BerKal013																		
	#recordin	LinkTable								BerKal013	AdlVal01	AdlVal01	30169	14036	-90	1												
	#recordin	ShineNPC	MapLinkGate	BerKal01	4483	13158	-80	0	Gate	BerKal014																		
	#recordin	LinkTable								BerKal014	PsyOut	PsyOut	11787	7993	180	1												
;	어둠의 대지																											
	#recordin	ShineNPC	MapLinkGate	UrgDark01	2259	11995	-84	0	Gate	UrgDark011																		
	#recordin	LinkTable								UrgDark011	Urg_Alruin	Urg_Alruin	11357	21862	0	1												
;	#recordin	ShineNPC	IDMapLinkGate01	UrgDark01	21515	1851	169	0	IDGate	UrgDark012																		
;	#recordin	LinkTable								UrgDark012	UrgDragon	UrgDragon	700	5795	0	1												
;	#recordin	ShineNPC	MapLinkGate	UrgDark01	23715	13172	88	0	Gate	UrgDark013																		
;	#recordin	LinkTable								UrgDark013	Bera	Bera	8993	478	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgDark01	22890	3895	80	0	Gate	UrgDark015																		
	#recordin	LinkTable								UrgDark015	AdlVal01	AdlVal01	26689	18161	-110	1												
;	생명의 나무(100목적형)																											
	#recordin	ShineNPC	MapLinkGate	AlDn01	11440	1832	131	0	Gate	AlDn001																		
	#recordin	LinkTable								AlDn001	Urg_Alruin	Urg_Alruin	16991	15130	0	1												
;보스필드-파멸자의 터																												
	#recordin	ShineNPC	MapLinkGate	B_Cracker	2395	1297	16	0	Gate	B_Cracker01																		
	#recordin	LinkTable								B_Cracker01	UrgDark01	UrgDark01	21438	1995	65	1												
	#recordin	ShineNPC	MapLinkGate	UrgDark01	21486	1926	-8	0	Gate	UrgDark014																		
	#recordin	LinkTable								UrgDark014	B_Cracker	B_Cracker	2470	1434	45	1												
	#recordin	LinkTable								UrgDark014	BH_Cracker	BH_Cracker	2744	2172	-167	1												
;	불타는 돌 리뉴얼 열기의 동굴																											
	#recordin	ShineNPC	MapLinkGate	UrgFire01	1431	17092	30	0	Gate	UrgFire018																		
	#recordin	LinkTable								UrgFire018	QField03	QField03	1294	1221	15	1												
	#recordin	ShineNPC	MapLinkGate	UrgFire01	23170	20400	75	0	Gate	UrgFire019																		
	#recordin	LinkTable								UrgFire019	QField04	QField04	610	1355	60	1												
;	불타는 돌 리뉴얼 불타는 동굴																											
	#recordin	ShineNPC	MapLinkGate	QField03	1384	1293	15	0	Gate	GateQField03																		
	#recordin	LinkTable								GateQField03	UrgFire01	UrgFire01	1612	16654	30	1												
	#recordin	ShineNPC	MapLinkGate	QField04	537	1359	60	0	Gate	GateQField04																		
	#recordin	LinkTable								GateQField04	UrgFire01	UrgFire01	23111	20301	90	1												
;	갬블하우스 이동 게이트 npc																											
	#recordin	ShineNPC	GB_Touter	Eld	17264	15805	12	0	RandomGate	GBHouse01																		
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	2319	886	134	1												
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	2301	2301	42	1												
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	893	2305	-48	1												
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	898	896	-136	1												
	#recordin	ShineNPC	GB_Touter	Urg	5858	7171	-45	0	RandomGate	GBHouse02																		
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	2319	886	134	1												
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	2301	2301	42	1												
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	893	2305	-48	1												
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	898	896	-136	1												
	#recordin	ShineNPC	GB_Touter	Urg_Alruin	6530	9072	56	0	RandomGate	GBHouse03																		
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	2319	886	134	1												
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	2301	2301	42	1												
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	893	2305	-48	1												
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	898	896	-136	1												
	#recordin	ShineNPC	GB_Touter	Bera	6232	2187	-60	0	RandomGate	GBHouse04																		
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	2319	886	134	1												
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	2301	2301	42	1												
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	893	2305	-48	1												
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	898	896	-136	1												
;	헬가의 무덤 (Hard)																											
	#recordin	ShineNPC	MapLinkGate	BH_Helga	1592	3092	0	0	Gate	BH_Helga01																		
	#recordin	LinkTable								BH_Helga01	UrgSwa01	UrgSwa01	22163	21293	88	1												
;	파멸의 터 (Hard)																											
	#recordin	ShineNPC	MapLinkGate	BH_Cracker	2716	2059	-167	0	Gate	BH_Cracker01																		
	#recordin	LinkTable								BH_Cracker01	UrgDark01	UrgDark01	21438	1995	65	1												
;	프시켄의 정원																											
	#recordin	ShineNPC	MapLinkGate	PsyOut	11787	7461	180	0	Gate	PsyOut001																		
	#recordin	LinkTable								PsyOut001	BerKal01	BerKal01	4784	12824	-80	1												
	#recordin	ShineNPC	MapLinkGate	PsyOut	11787	15417	0	0	Gate	PsyOut002																		
	#recordin	LinkTable								PsyOut002	PsyIn	PsyIn	11877	14307	180	1												
;	프시켄의 저택																											
	#recordin	ShineNPC	MapLinkGate	PsyIn	11877	14179	180	0	Gate	PsyIn001																		
	#recordin	LinkTable								PsyIn001	PsyOut	PsyOut	11787	15299	0	1												
;	아델리아 숲 게이트																											
	#recordin	ShineNPC	MapLinkGate	AdlVal01	29000	19620	170	0	Gate	AdlVal010																		
	#recordin	LinkTable								AdlVal010	Adl	Adl	15030	12170	135	1												
	#recordin	ShineNPC	MapLinkGate	AdlVal01	26566	18105	-110	0	Gate	AdlVal011																		
	#recordin	LinkTable								AdlVal011	UrgDark01	UrgDark01	22720	3859	80	1												
	#recordin	ShineNPC	MapLinkGate	AdlVal01	30058	13986	-115	0	Gate	AdlVal012																		
	#recordin	LinkTable								AdlVal012	BerKal01	BerKal01	6163	3973	0	1												
;	아델리아 NPC																											
	#recordin	ShineNPC	AdlLantesUp	AdlVal01	28228	20053	-30	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Claude	AdlVal01	28348	20085	0	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Claude	AdlVal01	28142	19962	-60	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AdlSoulAngela	Adl	13017	12176	162	1	Merchant	SoulStone																		
	#recordin	ShineNPC	AdlSkillEdwina	Adl	10492	13263	-113	1	Merchant	Skill																		
	#recordin	ShineNPC	AdlSmithAlexia	Adl	12000	11866	165	1	Merchant	Weapon																		
	#recordin	ShineNPC	AdlStoreKaruha	Adl	13062	14645	70	1	StoreManager	-																		
	#recordin	ShineNPC	QM_Bunis	Adl	12883	13940	88	1	NPCMenu	Guild																		
	#recordin	ShineNPC	AdlSpeGuiltian	Adl	12433	13137	282	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AdlGuardNell	AdlVal01	45076	14273	145	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AdlMarlene	AdlVal01	32944	15660	40	1	QuestNpc	Quest																		
	#recordin	ShineNPC	AdlLoussier	Adl	12762	12221	187	1	Merchant	Item																		
	#recordin	ShineNPC	AdlAertsina	Adl	12167	12124	0	1	Merchant	WeaponTitle																		
	#recordin	ShineNPC	AdlLantesDown	Adl	15400	12030	115	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Claude	Adl	15296	11903	140	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Claude	Adl	15425	12186	80	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	QM_Brown	Adl	10544	13918	275	1	Merchant	Item																		
	#recordin	ShineNPC	GB_Touter	Adl	10889	14372	-7	0	RandomGate	GBHouse05																		
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	2319	886	134	1												
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	2301	2301	42	1												
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	893	2305	-48	1												
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	898	896	-136	1												
;	카할평원 NPC																											
	#recordin	ShineNPC	Q_Rourke	BerKal01	9644	8992	-5	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Joanna	BerKal01	9332	9071	-20	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Huey	BerKal01	9800	8833	95	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Dalian	BerKal01	10564	14964	160	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_Polan	BerKal01	9734	3366	171	1	QuestNpc	Quest																		
;	이벤트 필드 게이트																											
	#recordin	ShineNPC	MapLinkGate	EventF	12365	7442	77	0	Gate	Event001																		
	#recordin	LinkTable								Event001	RouN	RouN	6445	8630	0	1												
	#recordin	ShineNPC	MapLinkGate	EventF01	10254	7414	88	0	Gate	Event002																		
	#recordin	LinkTable								Event002	RouN	RouN	6445	8630	0	1												
;	아델리아 																											
	#recordin	ShineNPC	MapLinkGate	Adl	15033	11724	-170	0	Gate	Adl001																		
	#recordin	LinkTable								Adl001	AdlVal01	AdlVal01	29003	19397	20	1												
	#recordin	ShineNPC	EldSpeGuard03	Adl	12431	14870	15	0	Gate	Adl002																		
	#recordin	LinkTable								Adl002	BFGate04	BFGate04	1589	301	0	1												
;	결계의 숲4																											
	#recordin	ShineNPC	EldSpeGuard03	BFGate04	1585	162	177	0	Gate	BFGate041																		
	#recordin	LinkTable								BFGate041	Adl	Adl	12337	14800	0	1												
	#recordin	ShineNPC	LevelGuardH8	BFGate04	1019	1963	0	0	Gate	BFGate042																		
	#recordin	LinkTable								BFGate042	PsyInDn02	PsyInDn02	11877	14307	180	1												
	#recordin	ShineNPC	LevelGuard120	BFGate04	1738	1949	30	0	Gate	BFGate043																		
	#recordin	LinkTable								BFGate043	ArkDn02	ArkDn02	2482	6861	90	1												
	#recordin	ShineNPC	EldSpeGuard03	BFGate04	1907	573	177	0	Gate	BFGate044																		
	#recordin	LinkTable								BFGate044	Bera	Bera	7966	2742	90	1												
;	심연의 저택																											
	#recordin	ShineNPC	EldSpeGuard03	PsyInDn02	11877	14179	180	0	Gate	PsyInDn021																		
	#recordin	LinkTable								PsyInDn021	BFGate04	BFGate04	1234	1959	0	1												
;	불타는 아델리아 게이트																											
	#recordin	ShineNPC	Gate_AdlF	AdlVal01	31644	1984	-151	0	IDGate	AdlFGate00																		
	#recordin	LinkTable								AdlFGate00	AdlF	AdlF	2312	9961	0	1												
;	점령당한 아델리아 게이트																											
	#recordin	ShineNPC	AdlFH_Gate	AdlVal01	25998	6182	-40	0	IDGate	AdlFHGate00																		
	#recordin	LinkTable								AdlFHGate00	AdlFH	AdlFH	2312	9961	0	0												
;	카할평원 NPC																											
	#recordin	ShineNPC	Q_W_Chapman	EldGbl01	6224	7796	20	1	QuestNpc	Quest																		
	#recordin	ShineNPC	Q_W_Jacks	EldGbl01	6290	7836	19	1	QuestNpc	Quest																		
;	디펜스KQ-마그리트의 숨겨진 광산																											
	#recordin	ShineNPC	MineDigger	KDMine	6895	5283	0	1	Merchant	Item																		
;	일일퀘스트 명성치 상인(엘더린)																											
	#recordin	ShineNPC	Daliy_Merchant	Eld	13683	14642	-68	1	Merchant	Item																		
;	중급마계인던 - 마계영지																											
	#recordin	ShineNPC	DT_EntranceGate	EldFor01	15731	7576	-120	0	IDGate	WarN01																		
	#recordin	LinkTable								WarN01	WarN	WarN	4102	1159	0	1												
;	2012 유럽 크리스마스 이벤트 NPC																											
;	#recordin	ShineNPC	XmasWorze	Rou	5650	4404	15	0	QuestNpc	Quest																		
;	2012 크리스마스 이벤트 NPC (루아)																											
;	#recordin	ShineNPC	E_SantaClaus	Eld	13126	13148	1	1	QuestNpc	Quest																		
;	크리스마스 트리																											
;	#recordin	ShineNPC	ChristmasTree	Adl	15243	12485	38	1	QuestNpc	Quest																		
;	최하급마계인던 - 마계광산																											
	#recordin	ShineNPC	WarBL_EntranceGate	Linkfield01	2054	9928	-73	0	IDGate	WarBL01																		
	#recordin	LinkTable								WarBL01	WarBL	WarBL	1314	1366	179	1												
;	하급마계인던 - 마계병영																											
	#recordin	ShineNPC	WarL_EntranceGate	EldGbl02	9762	6003	-180	0	IDGate	WarL01																		
	#recordin	LinkTable								WarL01	WarL	WarL	2769	6919	-90	1												
;	발렌타인 이벤트 NPC																											
;	#recordin	ShineNPC	E_DadNPC	Eld	16200	13400	90	1	Merchant	Quest																		
;	#recordin	ShineNPC	E_MomNPC	Eld	13160	12950	-90	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	E_DanielNPC	Eld	15500	12950	180	1	QuestNpc	Quest																		
;	부활절이벤트_달걀지키기																											
	#recordin	ShineNPC	Egg_Digger	KDEgg	12829	13464	128	1	Merchant	Item																		
;	봄의 전장 NPC																											
	#recordin	ShineNPC	KQSpring_Rman	KDSpring	610	3697	-55	1	Merchant	Item																		
	#recordin	ShineNPC	KQSpring_Bman	KDSpring	852	1692	-142	1	Merchant	Item																		
;	게이트 필드																											
	#recordin	ShineNPC	MapLinkGate_Rou	Gate	1455	2294	179	0	Gate	Rou																		
	#recordin	LinkTable								Rou	RouN	RouN	5604	6519	90	1												
	#recordin	ShineNPC	MapLinkGate_Eld	Gate	1737	2082	90	0	Gate	Eld																		
	#recordin	LinkTable								Eld	Eld	Eld	17214	1344	90	1												
	#recordin	ShineNPC	MapLinkGate_EldGbl02	Gate	1745	1769	90	0	Gate	EldGbl02																		
	#recordin	LinkTable								EldGbl02	EldGbl02	EldGbl02	9129	8213	90	1												
