;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	DEAD	D_OrcCaptain	10	0	We'll ruin your village!	-	-	-
#RecordIn	PIECE	D_GiantOrcCaptain	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	D_GiantOrcCaptain	10	0	How can you still be alive!	-	-	-
#RecordIn	DAMAGED	D_GiantOrcCaptain	10	0	"Enjoy this moment, you'll have plenty of time to regret it."	-	-	-
#RecordIn	DEAD	D_GiantOrcCaptain	10	0	-	-	-	-
#RecordIn	PIECE	D_WeakenedOgre	4800000	6800000	Don't judge a book by its cover... I'm actually a nice guy.	-	-	-
#RecordIn	ATTACK	D_WeakenedOgre	10	0	-	-	-	-
#RecordIn	DAMAGED	D_WeakenedOgre	10	0	"Easy, easy...can't you see I am weak?"	-	-	-
#RecordIn	DEAD	D_WeakenedOgre	10	0	-	-	-	-
#RecordIn	PIECE	D_KingCall	4800000	6800000	I can feel someone watching me.	-	-	-
#RecordIn	ATTACK	D_KingCall	10	0	Bring it! I'll destroy anyone who dares fight me?	-	-	-
#RecordIn	DAMAGED	D_KingCall	10	0	-	-	-	-
#RecordIn	DEAD	D_KingCall	10	0	-	-	-	-
#RecordIn	PIECE	D_Harkan	4800000	6800000	Count me in...I want to level up too!	-	-	-
#RecordIn	ATTACK	D_Harkan	10	0	Today's goal: kill twenty of you!	-	-	-
#RecordIn	DAMAGED	D_Harkan	10	0	-	-	-	-
#RecordIn	DEAD	D_Harkan	10	0	I've died so many times... I've lost count!	-	-	-
#RecordIn	PIECE	D_VampireBat	4800000	6800000	I can feel it...feel it...	-	-	-
#RecordIn	ATTACK	D_VampireBat	10	0	You came all the way here to meet your end at my hands.	-	-	-
#RecordIn	DAMAGED	D_VampireBat	10	0	-	-	-	-
#RecordIn	DEAD	D_VampireBat	10	0	"I can't believe this, the world is spinning."	-	-	-
#RecordIn	PIECE	D_Prisoner	4800000	6800000	"I don't have people chasing me, or places to run to..."	"My hero, Captain Papillon! I'd like to meet you just once."	-	-
#RecordIn	ATTACK	D_Prisoner	10	0	"How does it feel, attacking with a spoon? "	-	-	-
#RecordIn	DAMAGED	D_Prisoner	10	0	"Hit me once, get hit twice! That's my motto!"	-	-	-
#RecordIn	DEAD	D_Prisoner	10	0	One more round! I'm not done with you yet!	-	-	-
#RecordIn	PIECE	D_Torturer	4800000	6800000	Which torture is good for the torturer and the tortured?	-	-	-
#RecordIn	ATTACK	D_Torturer	10	0	Attack!  I'm tickling your feet! Hehe...	-	-	-
#RecordIn	DAMAGED	D_Torturer	10	0	-	-	-	-
#RecordIn	DEAD	D_Torturer	10	0	-	-	-	-
#RecordIn	PIECE	D_Torturerking	4800000	6800000	I hear there are people trying to hunt me down.	-	-	-
#RecordIn	ATTACK	D_Torturerking	10	0	I'll make sure you remain here forever..hehehe.	-	-	-
#RecordIn	DAMAGED	D_Torturerking	10	0	Punish them!	-	-	-
#RecordIn	DEAD	D_Torturerking	10	0	-	-	-	-
#RecordIn	PIECE	D_CloverTrumpy	8000000	9000000	I miss the grand days of the Trumphy Kingdom!	-	-	-
#RecordIn	ATTACK	D_CloverTrumpy	10	0	Have we met before? You look familiar.	-	-	-
#RecordIn	DAMAGED	D_CloverTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	D_CloverTrumpy	10	0	Everyone knows about you now.	-	-	-
#RecordIn	PIECE	D_BlueCloverTrumpy	8000000	9000000	Someone got wind of our plans.	-	-	-
#RecordIn	ATTACK	D_BlueCloverTrumpy	10	0	You must be Brave to come here!	I can no longer allow you to move freely!	-	-
#RecordIn	DAMAGED	D_BlueCloverTrumpy	10	0	I won't let you take what remains of the Trumphy Kingdom!	-	-	-
#RecordIn	DEAD	D_BlueCloverTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_HeartTrumpy	8000000	9000000	I'm a medic--I treat Trumphy soldiers.	-	-	-
#RecordIn	ATTACK	D_HeartTrumpy	10	0	"Please, don't get in my way..."	-	-	-
#RecordIn	DAMAGED	D_HeartTrumpy	10	0	Hah...easy as cake to treat these wounds.	-	-	-
#RecordIn	DEAD	D_HeartTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_SpadeGuardTrumpy	8000000	9000000	I'm always ready to fight off invaders!	-	-	-
#RecordIn	ATTACK	D_SpadeGuardTrumpy	10	0	Stand up and fight!	-	-	-
#RecordIn	DAMAGED	D_SpadeGuardTrumpy	10	0	This will teach you not to mess with us ever again..	-	-	-
#RecordIn	DEAD	D_SpadeGuardTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_SpadeTrumpy	8000000	9000000	My purpose in life is to defend the Great Kingdom of Trumphy!	-	-	-
#RecordIn	ATTACK	D_SpadeTrumpy	10	0	I wonder if you're even worthy of being here...	-	-	-
#RecordIn	DAMAGED	D_SpadeTrumpy	10	0	Hmm... you all are not as easy to defeat as I thought you'd be.	-	-	-
#RecordIn	DEAD	D_SpadeTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_DiaTrumpy	8000000	9000000	The Trumphy Kingdom will rise again!	-	-	-
#RecordIn	ATTACK	D_DiaTrumpy	10	0	No shield or armor can withstand my arrows!	-	-	-
#RecordIn	DAMAGED	D_DiaTrumpy	10	0	"Just remember, there's more like me out there. I will be avenged!"	-	-	-
#RecordIn	DEAD	D_DiaTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_Harpy	8000000	9000000	Bow down at my feet!	-	-	-
#RecordIn	ATTACK	D_Harpy	10	0	Haha...I wonder how long you will last?	-	-	-
#RecordIn	DAMAGED	D_Harpy	10	0	How dare you harm me?	It's very foolish of you to anger me...	-	-
#RecordIn	DEAD	D_Harpy	10	0	-	-	-	-
;	PIECE	FireNix	8000000	9000000	Kek!  Eeeeck!!!	-	-	-
;	ATTACK	FireNix	10	0	Kiya!!	-	-	-
;	DAMAGED	FireNix	10	0		-	-	-
;	DEAD	FireNix	10	0	Keeeee...	-	-	-
;	PIECE	FireSpirit	8000000	9000000	Kagh!	-	-	-
;	ATTACK	FireSpirit	10	0	Kueh?	-	-	-
;	DAMAGED	FireSpirit	10	0	Kek! Keck!!!	-	-	-
;	DEAD	FireSpirit	10	0	Ku...Kwe...	-	-	-
;	PIECE	FlameHoneying	8000000	9000000	Burn up Honeying!!!	-	-	-
;	ATTACK	FlameHoneying	10	0	Blaze up Honeying Brass!	-	-	-
;	DAMAGED	FlameHoneying	10	0	Oh... wha...?  No fun?	-	-	-
;	DEAD	FlameHoneying	10	0	All burnt up...	-	-	-
;	PIECE	CoreGuardian-U	8000000	9000000	He he...	-	-	-
;	ATTACK	CoreGuardian-U	10	0	You got some nerve coming over here...	-	-	-
;	DAMAGED	CoreGuardian-U	10	0		-	-	-
;	DEAD	CoreGuardian-U	10	0	This can't be...	-	-	-
;	PIECE	MineMole	8000000	9000000	Huh?	-	-	-
;	ATTACK	MineMole	10	0	Wha..?	-	-	-
;	DAMAGED	MineMole	10	0	Kang?	-	-	-
;	DEAD	MineMole	10	0	Woops.	-	-	-
;	PIECE	RubyGuardian-U	8000000	9000000	Shoo shoot!	-	-	-
;	ATTACK	RubyGuardian-U	10	0	shoo shoo shoot!  I'm not making this noise with my mouth.	-	-	-
;	DAMAGED	RubyGuardian-U	10	0		-	-	-
;	DEAD	RubyGuardian-U	10	0	Darn it...	-	-	-
;	PIECE	FlameSpirit	8000000	9000000	Wooo waaa!!!	-	-	-
;	ATTACK	FlameSpirit	10	0	I'll kill you all!!!	-	-	-
;	DAMAGED	FlameSpirit	10	0	Hey be afraid.	-	-	-
;	DEAD	FlameSpirit	10	0		-	-	-
;	PIECE	KidMon	8000000	9000000	Yah ap!	-	-	-
;	ATTACK	KidMon	10	0		-	-	-
;	DAMAGED	KidMon	10	0	Hurts right?	-	-	-
;	DEAD	KidMon	10	0		-	-	-
;	PIECE	Miner	8000000	9000000	He het!	-	-	-
;	ATTACK	Miner	10	0	Jewels are all mine!	-	-	-
;	DAMAGED	Miner	10	0	Mine I tell you!	-	-	-
;	DEAD	Miner	10	0	You are mine...	-	-	-
;	PIECE	UndeadMiner	8000000	9000000	Yay yeah!	-	-	-
;	ATTACK	UndeadMiner	10	0	Look at all my muscle.	-	-	-
;	DAMAGED	UndeadMiner	10	0	I'm a best on this mine!	-	-	-
;	DEAD	UndeadMiner	10	0		-	-	-
;	PIECE	KartMiner	8000000	9000000	Ka ka kat!	-	-	-
;	ATTACK	KartMiner	10	0	You think you can see this at your supermarket?	-	-	-
;	DAMAGED	KartMiner	10	0	I'm going to die here!	-	-	-
;	DEAD	KartMiner	10	0	Darn it...	-	-	-
;	PIECE	LavaVivi	8000000	9000000	Grrrr...	-	-	-
;	ATTACK	LavaVivi	10	0	Kya!!!	-	-	-
;	DAMAGED	LavaVivi	10	0	Kyang!!	-	-	-
;	DEAD	LavaVivi	10	0		-	-	-
;	PIECE	JewelTree	8000000	9000000	Look at me! Yay!	-	-	-
;	ATTACK	JewelTree	10	0	You want some jewel on your body too?	-	-	-
;	DAMAGED	JewelTree	10	0	I can grow jewel everywhere!	-	-	-
;	DEAD	JewelTree	10	0		-	-	-
;	PIECE	MagmaTon	8000000	9000000	Was that hot enough?	-	-	-
;	ATTACK	MagmaTon	10	0	I'll melt you like a butter!	-	-	-
;	DAMAGED	MagmaTon	10	0	Hahahaha!!!  Ha?	-	-	-
;	DEAD	MagmaTon	10	0		-	-	-
;	PIECE	FlameMinemole	8000000	9000000	"Yap, yap, ya"	-	-	-
;	ATTACK	FlameMinemole	10	0	Hurty? Scratchy?	-	-	-
;	DAMAGED	FlameMinemole	10	0	Ha ha Scratchy?	-	-	-
;	DEAD	FlameMinemole	10	0		-	-	-
;	PIECE	RedNix	8000000	9000000	Kiya!!	-	-	-
;	ATTACK	RedNix	10	0		-	-	-
;	DAMAGED	RedNix	10	0	Ki ya ya ya!	-	-	-
;	DEAD	RedNix	10	0		-	-	-
;	PIECE	CrystalGuardian-U	8000000	9000000	You'll get hurt.	-	-	-
;	ATTACK	CrystalGuardian-U	10	0	Why.. Did.. You come...	-	-	-
;	DAMAGED	CrystalGuardian-U	10	0		-	-	-
;	DEAD	CrystalGuardian-U	10	0	Want... to..go.. Back...	-	-	-
;	PIECE	LavaMagmaton	8000000	9000000	I'm stronger then you.	-	-	-
;	ATTACK	LavaMagmaton	10	0		-	-	-
;	DAMAGED	LavaMagmaton	10	0	I'm no match for weakling like you.	-	-	-
;	DEAD	LavaMagmaton	10	0		-	-	-
;	PIECE	GuardianMaster	8000000	9000000	Foolish...	-	-	-
;	ATTACK	GuardianMaster	10	0	Don't be greedy	-	-	-
;	DAMAGED	GuardianMaster	10	0		-	-	-
;	DEAD	GuardianMaster	10	0	You cannot avoid my curse...	-	-	-
;	PIECE	Gagoyle	8000000	9000000	Grrrr...	-	-	-
;	ATTACK	Gagoyle	10	0	I'm not a beast...	-	-	-
;	DAMAGED	Gagoyle	10	0		-	-	-
;	DEAD	Gagoyle	10	0		-	-	-
;	PIECE	GiantMagmaton	8000000	9000000	Laughable...	-	-	-
;	ATTACK	GiantMagmaton	10	0	Such amateurs.	-	-	-
;	DAMAGED	GiantMagmaton	10	0		-	-	-
;	DEAD	GiantMagmaton	10	0	How come...	-	-	-
;	PIECE	BellowKnight	8000000	9000000	Man...	-	-	-
;	ATTACK	BellowKnight	10	0	What an idiot.	-	-	-
;	DAMAGED	BellowKnight	10	0	Ha...	-	-	-
;	DEAD	BellowKnight	10	0		-	-	-
;	PIECE	BellowKnight-S	8000000	9000000		-	-	-
;	ATTACK	BellowKnight-S	10	0	Kugh...	-	-	-
;	DAMAGED	BellowKnight-S	10	0	"Hugh, lungs... kidney..."	-	-	-
;	DEAD	BellowKnight-S	10	0		-	-	-
;	PIECE	BellowKnight-G	8000000	9000000	You are...	-	-	-
;	ATTACK	BellowKnight-G	10	0		-	-	-
;	DAMAGED	BellowKnight-G	10	0	Who... are ... you!!	-	-	-
;	DEAD	BellowKnight-G	10	0		-	-	-
;	PIECE	BellowknightRord	8000000	9000000	You'll be sorry...	-	-	-
;	ATTACK	BellowknightRord	10	0	Such foolishness...	-	-	-
;	DAMAGED	BellowknightRord	10	0	So...	-	-	-
;	DEAD	BellowknightRord	10	0	Going back are we...	-	-	-
;	PIECE	D_FlameHoneying	8000000	9000000	Aren't you glad to see me?	-	-	-
;	ATTACK	D_FlameHoneying	10	0	Didn't we met before?	-	-	-
;	DAMAGED	D_FlameHoneying	10	0	You told me I was cute!	-	-	-
;	DEAD	D_FlameHoneying	10	0		-	-	-
;	PIECE	D_LavaVivi	8000000	9000000	Kigh... Betrayer!	-	-	-
;	ATTACK	D_LavaVivi	10	0	Vivi... Vivi.. Family...	-	-	-
;	DAMAGED	D_LavaVivi	10	0		-	-	-
;	DEAD	D_LavaVivi	10	0		-	-	-
;	PIECE	D_CoreGuardian-U	8000000	9000000	Are you here for jewels too?	-	-	-
;	ATTACK	D_CoreGuardian-U	10	0	There isn't such thing here!	-	-	-
;	DAMAGED	D_CoreGuardian-U	10	0	Go back!	-	-	-
;	DEAD	D_CoreGuardian-U	10	0		-	-	-
;	PIECE	D_RubyGuardian-U	8000000	9000000	Shoo shoo shoot!   	-	-	-
;	ATTACK	D_RubyGuardian-U	10	0		-	-	-
;	DAMAGED	D_RubyGuardian-U	10	0	Do you know Kickboxing?	-	-	-
;	DEAD	D_RubyGuardian-U	10	0		-	-	-
;	PIECE	D_CrystalGuardian-U	8000000	9000000	Master is watching...	-	-	-
;	ATTACK	D_CrystalGuardian-U	10	0		-	-	-
;	DAMAGED	D_CrystalGuardian-U	10	0	That's him...	-	-	-
;	DEAD	D_CrystalGuardian-U	10	0		-	-	-
;	PIECE	D_GuardianMaster	8000000	9000000	I'm king of dark force...	-	-	-
;	ATTACK	D_GuardianMaster	10	0	So sad...	-	-	-
;	DAMAGED	D_GuardianMaster	10	0	Light...	-	-	-
;	DEAD	D_GuardianMaster	10	0	I so a light in you.	-	-	-
;	PIECE	CaimanJunier	8000000	9000000	Krrrrr...	-	-	-
;	ATTACK	CaimanJunier	10	0	Kwang!	-	-	-
;	DAMAGED	CaimanJunier	10	0		-	-	-
;	DEAD	CaimanJunier	10	0	Krrrr.  I'll be back...	-	-	-
;	PIECE	Kaiman	8000000	9000000		-	-	-
;	ATTACK	Kaiman	10	0		-	-	-
;	DAMAGED	Kaiman	10	0		-	-	-
;	DEAD	Kaiman	10	0	Kiya!!	-	-	-
;	PIECE	LivingTotem	8000000	9000000	Oink Oink	-	-	-
;	ATTACK	LivingTotem	10	0	Oink?	-	-	-
;	DAMAGED	LivingTotem	10	0	What's up?	-	-	-
;	DEAD	LivingTotem	10	0	Oink? Oink!	-	-	-
;	PIECE	Slug	8000000	9000000	Shoong Shoong...	-	-	-
;	ATTACK	Slug	10	0		-	-	-
;	DAMAGED	Slug	10	0		-	-	-
;	DEAD	Slug	10	0	Chirp...	-	-	-
;	PIECE	Shadow	8000000	9000000	I hate the dark...	-	-	-
;	ATTACK	Shadow	10	0	I'm not dark...	-	-	-
;	DAMAGED	Shadow	10	0		-	-	-
;	DEAD	Shadow	10	0	I can see the light...	-	-	-
;	PIECE	RhinoceLoad	8000000	9000000	"Kugh, pugh..."	-	-	-
;	ATTACK	RhinoceLoad	10	0	This is my swamp!	-	-	-
;	DAMAGED	RhinoceLoad	10	0		-	-	-
;	DEAD	RhinoceLoad	10	0		-	-	-
;	PIECE	MadSlug	8000000	9000000	Kiwooooo...	-	-	-
;	ATTACK	MadSlug	10	0		-	-	-
;	DAMAGED	MadSlug	10	0		-	-	-
;	DEAD	MadSlug	10	0	Phick!  Phing...	-	-	-
;	PIECE	RedShadow	8000000	9000000	I'm not the darkne..ss....	-	-	-
;	ATTACK	RedShadow	10	0		-	-	-
;	DAMAGED	RedShadow	10	0		-	-	-
;	DEAD	RedShadow	10	0	Th...an..k you...	-	-	-
;	PIECE	Raplan	8000000	9000000	Aren't I beautiful?	-	-	-
;	ATTACK	Raplan	10	0	I'm something huh?	-	-	-
;	DAMAGED	Raplan	10	0	My sweet scent are intoxicating no?	-	-	-
;	DEAD	Raplan	10	0	Ang...	-	-	-
;	PIECE	BigMudMan	8000000	9000000	Kururu..	-	-	-
;	ATTACK	BigMudMan	10	0	Kuru...	-	-	-
;	DAMAGED	BigMudMan	10	0		-	-	-
;	DEAD	BigMudMan	10	0	Kooooo...	-	-	-
;	PIECE	LivingStatue	8000000	9000000	"Oh, ohhhh..."	-	-	-
;	ATTACK	LivingStatue	10	0		-	-	-
;	DAMAGED	LivingStatue	10	0		-	-	-
;	DEAD	LivingStatue	10	0	Urgh...	-	-	-
;	PIECE	Phouch	8000000	9000000	Ouchy Ouchy.	-	-	-
;	ATTACK	Phouch	10	0	Ong Ong Ouchy	-	-	-
;	DAMAGED	Phouch	10	0		-	-	-
;	DEAD	Phouch	10	0	Moooo	-	-	-
;	PIECE	LivingStone	8000000	9000000		-	-	-
;	ATTACK	LivingStone	10	0		-	-	-
;	DAMAGED	LivingStone	10	0		-	-	-
;	DEAD	LivingStone	10	0		-	-	-
;	PIECE	Weasel	8000000	9000000	Shiek	-	-	-
;	ATTACK	Weasel	10	0	Kiya!!	-	-	-
;	DAMAGED	Weasel	10	0		-	-	-
;	DEAD	Weasel	10	0	Sheeek!	-	-	-
;	PIECE	RhinoceHunter	8000000	9000000	There is only battle for me!	-	-	-
;	ATTACK	RhinoceHunter	10	0	Come on!  I'll take you all on!	-	-	-
;	DAMAGED	RhinoceHunter	10	0		-	-	-
;	DEAD	RhinoceHunter	10	0	Why you little...	-	-	-
;	PIECE	CaimanGiant	8000000	9000000	Kugh!	-	-	-
;	ATTACK	CaimanGiant	10	0		-	-	-
;	DAMAGED	CaimanGiant	10	0		-	-	-
;	DEAD	CaimanGiant	10	0	I'll take every single one of you.	-	-	-
;	PIECE	ShadowMaster	8000000	9000000	Who..am I?	-	-	-
;	ATTACK	ShadowMaster	10	0	Why are you attacking me?	-	-	-
;	DAMAGED	ShadowMaster	10	0	Why...	-	-	-
;	DEAD	ShadowMaster	10	0	Finally..	-	-	-
;	PIECE	BlackShadow	8000000	9000000	I want to get away...	-	-	-
;	ATTACK	BlackShadow	10	0	Please free me...	-	-	-
;	DAMAGED	BlackShadow	10	0		-	-	-
;	DEAD	BlackShadow	10	0	"Ha, Ha ha ha..."	-	-	-
#RecordIn	PIECE	Helga	8000000	9000000	I am the king of Hellgate!	-	-	-
#RecordIn	ATTACK	Helga	10	0	Kugh...	It's not my fault!	-	-
#RecordIn	DAMAGED	Helga	10	0	I'm back again?	I didn't know... I really didn't...	-	-
#RecordIn	DEAD	Helga	10	0	I can go back now...	Ah...	-	-
#RecordIn	PIECE	B_SubHel01	8000000	9000000	I didn't kill them.	-	-	-
#RecordIn	ATTACK	B_SubHel01	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel01	10	0	I was foolish...	-	-	-
#RecordIn	DEAD	B_SubHel01	10	0	Those who seek power... will not escape death.	-	-	-
#RecordIn	PIECE	B_SubHel02	8000000	9000000	What are you?	-	-	-
#RecordIn	ATTACK	B_SubHel02	10	0	Who am I?	-	-	-
#RecordIn	DAMAGED	B_SubHel02	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel02	10	0	-	-	-	-
#RecordIn	PIECE	B_SubHel03	8000000	9000000	Who am I?	-	-	-
#RecordIn	ATTACK	B_SubHel03	10	0	What are you?	-	-	-
#RecordIn	DAMAGED	B_SubHel03	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel03	10	0	-	-	-	-
#RecordIn	PIECE	B_SubHel04	8000000	9000000	How did I living again?	-	-	-
#RecordIn	ATTACK	B_SubHel04	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel04	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel04	10	0	I've already choose death...	-	-	-
#RecordIn	PIECE	B_SubHel05	8000000	9000000	-	-	-	-
#RecordIn	ATTACK	B_SubHel05	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel05	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel05	10	0	He cannot revive.. Again...	-	-	-
#RecordIn	PIECE	B_SubHel06	8000000	9000000	-	-	-	-
#RecordIn	ATTACK	B_SubHel06	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel06	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel06	10	0	-	-	-	-
#RecordIn	PIECE	B_SubHel07	8000000	9000000	-	-	-	-
#RecordIn	ATTACK	B_SubHel07	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel07	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel07	10	0	He...must...	-	-	-
#RecordIn	PIECE	B_SubHel08	8000000	9000000	-	-	-	-
#RecordIn	ATTACK	B_SubHel08	10	0	-	-	-	-
#RecordIn	DAMAGED	B_SubHel08	10	0	-	-	-	-
#RecordIn	DEAD	B_SubHel08	10	0	be... destroyed.	-	-	-
;	아이젤의 탑	-	-	-	-	-	-	-
#RecordIn	PIECE	T_Imp	2000000	3600000	What a surprise! Did I scare you?	Come here! Let's be friends.	Gollum! Gollum!! Gollum!!	"Hi, I'm an elf of the Fiesta, Imp!"
#RecordIn	ATTACK	T_Imp	40	0	"You're taking me easy, right? That's a mistake~"	It'll be a bit painful if you are not a level 5.	This is my charming beautiful big eye~	What!! I don't look Iike a sprite?? Why? What makes you think like that?!!
#RecordIn	DAMAGED	T_Imp	40	0	Are you kidding? You're just alone! Don't be so hasty!	He-he.. Please forgive me...	"You came because of the quest, too?"	Ah!! Sorry!! You're right. I'm ugly...
#RecordIn	DEAD	T_Imp	40	0	My...precious...	"Ah, the Quest is killing monster~~"	I hate the quest that gets the Imps~~	I'll go back!!
#RecordIn	PIECE	T_GangImp	2000000	3600000	"Let anybody be caught, that person is dead!"	Everyone is scared. I can't see even an ant.	I'm different from the Imps who are na?ve. You better know about this!	"Spit-spit!! Lately, so many guys are distressing me."
#RecordIn	ATTACK	T_GangImp	40	0	Are you kidding? You're just alone! Don't be so hasty!	Did you prepare your grave? Now is the time to say goodbye to your life.	I can feel my victory from the beginning.	Hah! Do you think you can beat us all?
#RecordIn	DAMAGED	T_GangImp	40	0	Well...You're quite good.	Is that all?	Wow! Don't you want to work under me?	I'm sorry!! I'll be a good Imp!!
#RecordIn	DEAD	T_GangImp	40	0	I can't believe it. Who are you?	How could this happen...	"Oops, it's a shame. I thought two would be enough. I need to recruit some more."	Gosh~ Help the Imp~ I'm going to get killed~
#RecordIn	PIECE	T_HungryWolf	2400000	4000000	You're annoying...	Where did this Red Riding Hood hide?	Oh~~~ I'm hungry~~	Why am I always hungry...?
#RecordIn	ATTACK	T_HungryWolf	30	0	Hahaha~	Thank you for the daily bread.	"Well, just give up right now~ Ha!"	Wow~ Food~ Behave yourself!!
#RecordIn	DAMAGED	T_HungryWolf	30	0	Man...he's strong...	I should have aimed at the Red Riding Hood...	You need to be ready to suffer if you really want to hunt.	"Hey, if you are not going to eat it, then don't kill!"
#RecordIn	DEAD	T_HungryWolf	30	0	No...not this...	What are you doing?!!!	"I was just going to eat it, I am really hungry..."	"How come you ignore my words? It's me, a Hungry Wolf!!"
#RecordIn	PIECE	T_Ratman	2600000	4200000	Hey...don't be so hard upon me...	"This is the year of the rat, you know?!"	Hey...don't be so hard upon me...	"This is the year of the rat, you know?!"
#RecordIn	ATTACK	T_Ratman	15	0	"You know, I'm precious."	This year is the year of what?	"You know, I'm precious."	This year is the year of what?
#RecordIn	DAMAGED	T_Ratman	15	0	This is the year of Ratman!!	Someone's trying to kill the rat~ Help me~	This is the year of Ratman!!	Someone's trying to kill the rat~ Help me~
#RecordIn	DEAD	T_Ratman	15	0	How could you...kill me...	Hey...control yourself...	How could you...kill me...	Hey...control yourself...
#RecordIn	PIECE	T_Boar	2800000	4400000	I heard there's a city called Elderine or something around here...	"When I get there, there will be lots of food."	I should get going before the Ratman comes after smelling this.	"You thought I was a bear, right? Sometimes I feel I am a bear, too. Ha-ha."
#RecordIn	ATTACK	T_Boar	15	0	(Snoring)	How is it? Does it hurt? Huh?	Don't think Ratman and I are the same level. 	"Hm-hm. Are you a mortal, elf, or a dark elf?"
#RecordIn	DAMAGED	T_Boar	15	0	I go crazy when I get angry...	I didn't even start~! Ha-ha!	It was a foxy attack.	Yuck!! You hit a fatal spot!!
#RecordIn	DEAD	T_Boar	15	0	I'm hungry...	If I were not hungry...	"Ratman, a little rascal...Why does he come to my mind right now?"	"No, I'm not that easy pig, I can't lose like this..."
#RecordIn	PIECE	T_Kebing	3200000	5200000	Who do it? Kebing do it~	Pop!	(groaning...)	"We, Kebings, are guarding the entrance of the Tower!"
#RecordIn	ATTACK	T_Kebing	10	0	Kebing super power~	Kebing punch!	Kebing Death Blo...Uh-uh...there's no death blow...	"Kebing Kick!! Oops, do I have legs at all?"
#RecordIn	DAMAGED	T_Kebing	10	0	Take my attack!!!	Ah! No~~~ It hurts~~~	Did you hit me? I didn't even feel the touch~	Krr...you are dead strong...krr...
#RecordIn	DEAD	T_Kebing	10	0	That's not fair~~	It's a shame that you got beaten by a mortal. Are you an elf?	CPR~~ Hurry~~	I can't be dead!! I am a hero!!
#RecordIn	PIECE	T_SkelArcher00	4200000	6200000	The air is not fresh here.	"It's getting colder, really. The weather chilled me to the bone."	Impure air is the enemy of the skin...	"Plearsure to see you, offering."
#RecordIn	ATTACK	T_SkelArcher00	10	0	Take this skeleton arrow!!	This place cannot be entered without permission.	Skeletons of the Tower! Let's defeat the enemies!!	My arrow will aim at your heart.
#RecordIn	DAMAGED	T_SkelArcher00	10	0	You're so fast! What did you do?	Burning~!	"Oh, every joint aches."	It won't be a dull game. That's good.
#RecordIn	DEAD	T_SkelArcher00	10	0	You've lost all your items.	Thank you for giving me back the peaceful sleep.	I've done my share.	You...you little one...
#RecordIn	HELPMAIN	T_SkelArcher00	800	800	"Huh, look here."	"OK, I recognize you. But it won't be that easy~"	"Hey, there's a problem here."	Hey!! Come here!! Quick!! Hurry!!
#RecordIn	HELPSUB	T_SkelArcher00	800	800	-	-	-	-
#RecordIn	RACERESCUE	T_SkelArcher00	800	800	-	-	-	-
#RecordIn	PIECE	T_SkelArcher01	4200000	6200000	The air is not fresh here.	"It's getting colder, really. The weather chilled me to the bone."	Impure air is the enemy of the skin...	"Plearsure to see you, offering."
#RecordIn	ATTACK	T_SkelArcher01	10	0	Take this skeleton arrow!!	This place cannot be entered without permission.	Skeletons of the Tower! Let's defeat the enemies!!	My arrow will aim at your heart.
#RecordIn	DAMAGED	T_SkelArcher01	10	0	You're so fast! What did you do?	Burning~!	"Oh, every joint aches."	It won't be a dull game. That's good.
#RecordIn	DEAD	T_SkelArcher01	10	0	You've lost all your items.	Give me the rest...	All items are disappeared.	You...you little one...
#RecordIn	HELPMAIN	T_SkelArcher01	800	800	"Huh, look here."	I can't adimit it!	"Hey, there's a problem here."	Hey!! Come here!! Quick!! Hurry!!
#RecordIn	HELPSUB	T_SkelArcher01	800	800	-	-	-	-
#RecordIn	RACERESCUE	T_SkelArcher01	800	800	-	-	-	-
#RecordIn	PIECE	T_SkelArcher02	4200000	6200000	The air is not fresh here.	"It's getting colder, really. The weather chilled me to the bone."	Impure air is the enemy of the skin...	"Plearsure to see you, offering."
#RecordIn	ATTACK	T_SkelArcher03	10	0	Take this skeleton arrow!!	This place cannot be entered without permission.	Skeletons of the Tower! Let's defeat the enemies!!	My arrow will aim at your heart.
#RecordIn	DAMAGED	T_SkelArcher04	10	0	You're so fast! What did you do?	Burning~!	"Oh, every joint aches."	It won't be a dull game. That's good.
#RecordIn	DEAD	T_SkelArcher05	10	0	You've lost all your items.	Thank you for giving me back the peaceful sleep.	I've done my share.	You...you little one...
